"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI Stellar Burgers","0","Основной функционал","10","0","","0"
"0","UI Stellar Burgers","0","Лента заказов","6","0","","0"
